Nama Pelanggan,Produk,Ulasan,Rating
Agung,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - lilac, XL",Bagus dan pass 👍👍,5
Rangga,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - lilac, XL","Sesuai ekspektasi, pas di body istri, terlihat seksi, paksu hepi, 👍🏼👍🏼",5
I***r,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - lilac, XL",Ukurannya pas Tinggi badan 161 - 170 cm Berat badan 50 - 60 kg,5
K***e,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - lilac, XL","bahan adem,,bagus dengan harga segini,,cukup lah,,cuma masalah dipengiriman nya aja,,semoga kedepan nya dapet pengirim yang lebih cepet,,thx seller",5
Dea,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - lilac, XL",Tinggi badan 161 - 170 cm,5
G***s,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - lilac, XL",ukuran pas,5
mula,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - lilac, XL","Ga nyangka ternyata bagus juga. Respon penjual cepat, brg kosong langsung kabarin dan tanya mau ganti warna atau gimana. Dan brg juga ga lama langsung nyampe. Makasiiihhh",5
Sundari,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - lilac, XL",agak kebesan gak ngeres dipkenya Berat badan > 70 kg Tinggi badan 160 cm,5
Sylvia,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - lilac, XL",bahan kaosnya adem lembut..size sesuai ukuran..M. BB 45kg,5
Sinung,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - lilac, XL",bagus,5
