Nama Pelanggan,Produk,Ulasan,Rating
O***g,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Mantap bahan bagus, Nyaman banget dipakai, jahitan rapi. Suka banget. Terima kasih",5
Susan,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Bahan bagus, jahitan rapi, harga ok bgt. pengiriman aman.",5
Lenny,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","sesuai deskripsi, jahitan rapi, respon seller ok, pengiriman cepat",5
Fadjar,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Bagus, harga muraah.. kualitas lumayan, bisa buat jalan..",5
R***a,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",bagus pokonya tdak mngecewakan 😍,5
Yumi,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",bahan halus&cantik,5
Fie,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",ukuran pas ..bagus bahannya,5
L***z,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",Bahan sifon tipis & panas.. kemahalan utk bahan keq gini dgn harga tertera..,3
maria,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",sesuai foto,5
Ranididie,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","cardigannya bagus, pas bgt, pengirimannya cepat, trimakasih",5
R***a,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",bagus bahannya jatoh. cm agak kurang panjang depannya. yg belakang pas sih. bagian depan agak gantung karena ketarik di bagian dada.,5
aprilia,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","over all okee, cumaa jahitan kurang rapi dan ini udah beli yang keduaaa kali nyaaa",5
Meta,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",Beli lagiiii.. puasss bgt,5
Meta,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",Udah pesan ke 2x... keren..,5
Fie,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",ukuran L pas di badan sesuai deskripsi..bahannya halus n jahitan rapi.suka banget,5
D***n,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Ukuran pas. termasuk longgar sih buat aku yang tb 145, bb 50.
Bahannya ga terlalu tipis. Jaitan juga rapi. dipakenya juga nyaman.
Admin responsif, cuma mungkin karna bany...",5
Y***n,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Produk ok, sesuai deskripsi, enak di pakai, harga terjangkau, seller fast response, barang sesuai pesanan, jahitan rapi, pengiriman cepat dan packingan rapi.",4
Anastasia,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","sesuai harga dan kualitas.
oke banget klo utk keperluan mendadak yang butuh baju sesuai dress code.

kebetulan anakku hrs pakai baju merah

jahitan rapi, pokoknya sesuai...",5
M***t,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Puas banget .... bahannya bagus, warna sesuai, jahitan rapi & ukurannya jg pas 🤩",5
Dawi,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",Suka banget sama modelnya yg simple tapi berkesan elegan. Mau beli warna lain lagi 😁,5
