Nama Pelanggan,Produk,Ulasan,Rating
Widia,"HanaFashion - Maika Pants Celana Kulot Bahan Wanita - LP054 - Pink, M",elek. kasar jahitannya. bahannya ga ok,2
S***o,"HanaFashion - Maika Pants Celana Kulot Bahan Wanita - LP054 - Pink, M",bahanya ppanas dan kasar,2
Tati,"HanaFashion - Maika Pants Celana Kulot Bahan Wanita - LP054 - Pink, M","kwalitas untuk harga segitu ok, tipis n transparan untung belinya warna item 👍
jahitan rapi...",3
M***a,"HanaFashion - Maika Pants Celana Kulot Bahan Wanita - LP054 - Pink, M",jaitan ga rapih,1
W***a,"HanaFashion - Maika Pants Celana Kulot Bahan Wanita - LP054 - Pink, M",kurang cocok,2
E***n,"HanaFashion - Maika Pants Celana Kulot Bahan Wanita - LP054 - Pink, M","barang tiba dengan selamat.. terima kasih.
hanya saja bahan celana-nya tidak sesuai dengan ekspektasi.. saya pikir, bahan yang digunakan adalah bahan katun yang lembut da...",3
M***a,"HanaFashion - Maika Pants Celana Kulot Bahan Wanita - LP054 - Pink, M",Kekecilan,3
Diah,"HanaFashion - Maika Pants Celana Kulot Bahan Wanita - LP054 - Pink, M",Pesan 2 yg datang cuna 1 dan  barangnya ada yg rusak. Sdh coba konfirmasi tp tdk ada tanggapan,1
Euis,"HanaFashion - Maika Pants Celana Kulot Bahan Wanita - LP054 - Pink, M",karet d pinggang nya terlalu kencang,3
M***a,"HanaFashion - Maika Pants Celana Kulot Bahan Wanita - LP054 - Pink, M","Biasa aja ternyata, kemahalan sih hrg segitu",3
