Nama Pelanggan,Produk,Ulasan,Rating
Angie,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Baby Pink, XL","sayang bgt kekecilan, pdhl di picture keliatan pas dan sesuai badan",3
Y***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Baby Pink, XL",Ukurannya kecil banget dan kualitas kain tdk bagus,3
y***t,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Baby Pink, XL",minta size XL d kirim nya S.. jd gak kepakai dech 😭,1
S***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Baby Pink, XL","Sudah punya 2 warna hitam dan putih. Yg hitam bagus bahan tebal dan stretch, yg putih beda bahan lebih tipis+kaku",3
W***n,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Baby Pink, XL",kalo barangnya lumayan bagus walopun sy ambil xxl rada kebesaran.. cuma ditelp sm kurir nya paket diterima dlm kondisi beranrakan spt difoto itu untung ga tercecer dan hi...,3
Natalia,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Baby Pink, XL","Respon lama sekali, baru dapat barang kemarin",2
M***d,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Baby Pink, XL","dikirim lama bgt ,minta c4ncel ga boleh ga di acc pdhl mau gosend maaf bgt kasih bintang 1 spya owner liat dan diperbaiki sistemnya",1
n***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Baby Pink, XL",pengiriman lama,1
A***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Baby Pink, XL","gatau ini punyaku aja atau emg jahitan leher dalemnya tuh suka keluar"" kek ngiwir"" gitu ganggu bgt sumpah dan tdi ended up ku potong bagian dalem lehernya itu",3
M***d,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Baby Pink, XL",pengiriman lama h+2 pke gosend  pdhl hari kerja,2
