Nama Pelanggan,Produk,Ulasan,Rating,Unnamed: 0
Vara,HanaFashion - Miranda Basic Tank Top Simple Polos Wanita - TT029,Tidak ada ulasan,3,
sandy,HanaFashion - Miranda Basic Tank Top Simple Polos Wanita - TT029,biasa saja..,3,
Theresia,HanaFashion - Miranda Basic Tank Top Simple Polos Wanita - TT029,bahan biasa aja dan warna navy nya beda,2,
Hadi,HanaFashion - Miranda Basic Tank Top Simple Polos Wanita - TT029,Saya kasih catatan order warna kuning sama navy sepertinya ga dibaca dikirim kuning dua2 nya,3,
Robbi,Produk tidak ditemukan,kekecilan,1,
N***i,Produk tidak ditemukan,cukup tau sama pelayanannya.,1,
ichee,"HanaFashion - Tammy Short Pants / Celana Pendek Wanita - SP081 - PURPLE, S",bahannya tipis,1,
V***a,"HanaFashion - Tammy Short Pants / Celana Pendek Wanita - SP081 - PURPLE, S","barang yg di kirim tdk sesuai produk. kainnya panjang di bagian sisi blkng (40 cm) & bagian dpn (37 cm). foto terlampir.

sdh di komplain tp kata penjualnya yg d kiri...",1,
Tri,"HanaFashion - Tammy Short Pants / Celana Pendek Wanita - SP081 - PURPLE, S","tidak terima barang..
maaf, kmarin hanya kertas aja",1,
A***a,"HanaFashion - Tammy Short Pants / Celana Pendek Wanita - SP081 - PURPLE, S","Yang diorder apa, yg dikirim apa. Nanya lewat message adminnya gak bisa memberikan solusi. Say sorry pun engga. Malah ribut minta resi. Padahal saya udah kasi nomer pemes...",1,
C***n,"HanaFashion - Tammy Short Pants / Celana Pendek Wanita - SP081 - PURPLE, S","order 2 pcs, dtg cuma 1 pcs",1,
M***a,"HanaFashion - Hyeri T-shirt Wanita Casual Kaos Wanita Murah - TS263 - White, M",Penjual tidak menghiraukan catatan yang diberikan utk pemesanan yang berbeda warna. dikirim 2 dengan warna sama.  Seharusnya dikomunikasikan sebelum dikirim jika ada keke...,2,
S***n,"HanaFashion - Kimberly Long Bolero Super Crop Murah - CT128 - Ungu, XL","bhaan tipis banget, pakenya juga gk rapi",3,
Intan,"HanaFashion - Kimberly Long Bolero Super Crop Murah - CT128 - Ungu, XL","Kependekan lengannya, mestinya size L",3,
Luli,"HanaFashion - Kimberly Long Bolero Super Crop Murah - CT128 - Ungu, XL","Sampai hari ini brg belum kami terima.
Kalo boleh saya minta foto seandainya brg tsb sdh diantar/sampai kermh saya. Tks.",1,
S***i,"HanaFashion - Kimberly Long Bolero Super Crop Murah - CT128 - Ungu, XL",Lumayan,3,
C***a,"HanaFashion - Miranda Basic Tank Top Simple Polos Wanita - TT029 - Khaki, XXXL","bahan tipis banget, warna white nya bukan putih katun ya, tidak sesuai ekspektasi dan menurut saya tidak sesuai foto, memang bahan bukan tertulis katun ya, tp pengiriman...",1,
e***n,"HanaFashion - Miranda Basic Tank Top Simple Polos Wanita - TT029 - Khaki, XXXL",pengiriman nya lama...,2,
salsa,"HanaFashion - Miranda Basic Tank Top Simple Polos Wanita - TT029 - Khaki, XXXL","bahannya ga adem, mesti make di ruangan ber ac krn ga nyerap keringat",3,
Hermawan,"HanaFashion - Anya Mini Skirt / Rok Pendek Wanita Murah - SK171 - Black, S",Tidak dapat saya sebutkan di sini.,1,
f***a,"HanaFashion - Anya Mini Skirt / Rok Pendek Wanita Murah - SK171 - Black, S","pengiriman pake instan, tapi tibanya keesokkan harinya ( pdhl sdh konfirmasi ke penjual minta brg tiba pd hr yg sama)",1,
M***h,"HanaFashion - Anya Mini Skirt / Rok Pendek Wanita Murah - SK171 - Black, S","peking sobek, peking tidak aman+paket lama diproses.",3,
Iftitah,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",bahannya tipis nerawang,3,
Willy,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",barang sesuai harga,3,
Della,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",kecil bgt bajunya :(,2,
a***a,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",salah kirim produk,1,
M***t,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Light Grey, L","pesan 1 hitam 1 khaki, sy tambahkan catatan dibawah tapi datangnya 2 hitam. Saya lapor tapi mereka bilang mereka hanya proses sesuai dgn ordernya 2 hitam. Ga bisa pake ca...",3,
M***n,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Light Grey, L",yg dipesen kemben yg dikasih kaos🙊🙊🙊,2,
G***a,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Light Grey, L",sudah cancel tapi tidak ditanggapi bahkan tidak ada chat setelah dicoba pun barang tidak enak saat dipakai sangat tidak nyaman,1,
V***a,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Light Grey, L",sangat aneh..Saya memesan tube top dan menerima t-shirt biasa.  jika penjual tidak memesan barang lalu mengapa mengirimnya?  sangat aneh!!,1,
y***a,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Light Grey, L",penjual ga jelas memberikan deskripsi nya.. asli... di beli untuk di buang....LD nya ga bener penjelasan nya.,3,
annisa,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Light Grey, L","Pengiriman pertama kemben salah kirim malah jadi crop top,Tanktop coklat gaada dikirim. Croptop saya ttp bawa untuk ganti tanktop coklat karena harga sama. Minta dikirim...",3,
Dea,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Light Grey, L","ga sesuai gambar,bagian tas nya belel kya udh pernah dipake, kembali lagi sesuai harga gaes",3,
Delon,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Light Grey, L",bagus Kak.,2,
ETHES,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Light Grey, L",Agak panas dipakai,3,
v***k,"HanaFashion - Rina Cardigan Long Sleeve Outer Kardigan Wanita - JK056 - Dark Brown, XXL",warnanya beda kek di foto lebih tua,3,
Stevani,"HanaFashion - Rina Cardigan Long Sleeve Outer Kardigan Wanita - JK056 - Dark Brown, XXL",kecil banget padal L,3,
N***i,"HanaFashion - Rina Cardigan Long Sleeve Outer Kardigan Wanita - JK056 - Dark Brown, XXL",Maaf yaa. Barang yang dikirim tidak sesuai pesanan. Nyampenya juga lamaaa.,2,
tomi,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Bahan celananya bagus, beliin buat si kaka pas ukurannya",5,0.0
P***u,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",kualitas bagus.,5,1.0
Isna,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya pas,5,2.0
F***n,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bumil approved👍,5,3.0
E***t,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya terlalu besar,5,5.0
