Nama Pelanggan,Produk,Ulasan,Rating
Mas,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL","Tinggi badan 150 - 160 cm, bagus, nyaman, adem juga ga bikin gerah",5
adisti,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL","Ukurannya pas
bahan nya bagus
next beli lagii🥰",5
Astrid,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",Ukurannya pas Tinggi badan 150 - 160 cm,5
Feivel,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",Ukurannya pas dibadan. Sesuai deskripsi. Ada barang yg kosong dan dibantu proses refundnya sama seller.,5
T***a,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",Ukurannya pas  Tinggi badan 150 - 160 cm,5
M***C,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",Ukurannya pas sesuai dengan keinginan keren banget model kekinian respon cepat pengiriman lancar jaya,5
I***h,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 61 - 70 kg,5
A***a,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",bagusss dehh.. murah pulak.. ga kecewaa.. bahannya juga alus.. ga nyesel beli huhuhu 🩷,5
d***h,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",Ukurannya pas Tinggi badan < 150 cm. bahannya bagud dan nyaman dupakai,5
y***a,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",bJus nya bagus tidak panas bahan adem bgt baju nya simpel dan cNtik bgt,5
O***a,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",Sukak and worty to buy,5
Mon,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL","BB 55
TB 158
pas di xl
bgs",5
Lenny,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL","Udah langganan beli di hana fashion,, bagus bahan nya adem dan tidak murahan,, klo bisa banyakin disc nya lagi",5
Evi,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",bajunya bagus.. pengiriman cepat 👍👍👍 Terimakasih...🙏☺️,5
Nurhe,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL","bagus, bahannya adem trs mulur. makasih reseller",5
L***n,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",bahannya adem dan ukurannya sesuai deskripsi. thanks,5
d***a,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",kain tipis dan baju press di body. selebihnya oke buat jalan jalan santai👍,5
Y***n,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",pesan warna hitam dan putih.yang dikirim dua2nya hitam .tapi untunglah modelnya cantik dan jahitan rapi.ukurannya juga cocok di badan.tks ya (next lebih teliti ya),5
L***a,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL","gemaaaasss, untuk bb 43 ini pas banget.. kalo mau agak longgaran pilih uk L",5
Ayu,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL","Bahan bagus, nyaman dipakai dan harga terjangkau",5
O***g,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Mantap bahan bagus, Nyaman banget dipakai, jahitan rapi. Suka banget. Terima kasih",5
Susan,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Bahan bagus, jahitan rapi, harga ok bgt. pengiriman aman.",5
Lenny,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","sesuai deskripsi, jahitan rapi, respon seller ok, pengiriman cepat",5
Fadjar,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Bagus, harga muraah.. kualitas lumayan, bisa buat jalan..",5
R***a,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",bagus pokonya tdak mngecewakan 😍,5
Yumi,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",bahan halus&cantik,5
Fie,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",ukuran pas ..bagus bahannya,5
L***z,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",Bahan sifon tipis & panas.. kemahalan utk bahan keq gini dgn harga tertera..,3
maria,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",sesuai foto,5
Ranididie,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","cardigannya bagus, pas bgt, pengirimannya cepat, trimakasih",5
R***a,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",bagus bahannya jatoh. cm agak kurang panjang depannya. yg belakang pas sih. bagian depan agak gantung karena ketarik di bagian dada.,5
aprilia,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","over all okee, cumaa jahitan kurang rapi dan ini udah beli yang keduaaa kali nyaaa",5
Meta,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",Beli lagiiii.. puasss bgt,5
Meta,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",Udah pesan ke 2x... keren..,5
Fie,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",ukuran L pas di badan sesuai deskripsi..bahannya halus n jahitan rapi.suka banget,5
D***n,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Ukuran pas. termasuk longgar sih buat aku yang tb 145, bb 50.
Bahannya ga terlalu tipis. Jaitan juga rapi. dipakenya juga nyaman.
Admin responsif, cuma mungkin karna bany...",5
Y***n,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Produk ok, sesuai deskripsi, enak di pakai, harga terjangkau, seller fast response, barang sesuai pesanan, jahitan rapi, pengiriman cepat dan packingan rapi.",4
Anastasia,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","sesuai harga dan kualitas.
oke banget klo utk keperluan mendadak yang butuh baju sesuai dress code.

kebetulan anakku hrs pakai baju merah

jahitan rapi, pokoknya sesuai...",5
M***t,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Puas banget .... bahannya bagus, warna sesuai, jahitan rapi & ukurannya jg pas 🤩",5
Dawi,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",Suka banget sama modelnya yg simple tapi berkesan elegan. Mau beli warna lain lagi 😁,5
