Ulasan;Sentimen
bahan aja warna navy nya beda;Negatif
kasih catat order warna kuning navy baca kirim kuning nya;Negatif
barang kirim sesuai produk kain sisi blkng cm dpn cm foto lampir komplain jual kiri;Negatif
terima barang maaf kmarin kertas aja;Negatif
order kirim nanya akussage adminnya akumberikan solusi say sorry engga ribut resi udah kasi nomer ;Negatif
jual akunghiraukan catat mesan beda warna kirim warna komunikasi kirim keke;Negatif
bhaan tipis banget pakenya rapi;Negatif
pendek lengan akustinya size l;Negatif
barang terima kalo foto anda barang antar rumah tks;Negatif
bahan tipis banget warna white nya putih katun ya sesuai ekspektasi akunurut sesuai foto akumang bahan tulis katun ya kirim;Negatif
bahan adem akusti make ruang ber ac nyerap keringat;Negatif
kirim pake instan tiba esok hari konfirmasi jual barang hr;Negatif
peking sobek peking aman paket proses;Negatif
pesan hitam khaki tambah catat bawah datang hitam lapor akureka bilang akureka proses sesuai order hitam pake ca;Negatif
yg sen kemben kasih kaos;Negatif
cancel tanggap chat coba barang enak pakai nyaman;Negatif
aneh akumesan tube top akunerima t shirt jual akumesan barang lakamu akungapa akungirimnya aneh;Negatif
jual akumberikan deskripsi nya asli beli buang ld nya bener jelas nya;Negatif
kirim kemben salah kirim crop top tanktop coklat gaada kirim croptop bawa ganti tanktop coklat harga kirim;Negatif
ga sesuai gambar tas nya belel kya udah dipake sesuai harga gaes;Negatif
warna beda kek foto tua;Negatif
maaf yaa barang kirim sesuai pesan nyampenya;Negatif
bahan celana bagus beliin si kaka ukur;Positif
ukur badan cm berat badan kilogram;Positif
ukur l berat udah order kali suka banget terimakasii;Positif
ukur berat badan kilogram;Positif
berat badan kilogram badan cm lingkar pinggang ukur m pendek akumang dikit cd model boxer bahan tipis hari oke;Positif
bahan adem bagus banget sesuai foto;Positif
bagus sesuai skripsi ukur sesuai enak adem pakai mksh;Positif
bahan enak adem nyaman;Positif
barang bagus nyaman pakai;Positif
bahan bagus jahit oke adem pakai pasti nyaman santai rumah thank you;Positif
bagus enak pakai nyaman terimakasih;Positif
bahan enak banget nyaman adem keren banget dicobain terima kasih;Positif
pretty desain as always push my confidence love it i like that hana fashion s desain;Positif
