Ulasan,Sentimen
bagus,Positif
mantap bahan bagus nyaman banget pakai jahit rapi suka banget terima kasih,Positif
bahan bagus jahit rapi harga oke banget kirim aman,Positif
sesuai deskripsi jahit rapi respon jual oke kirim cepat,Positif
bagus harga muraah kualitas lumayan jalan,Positif
bagus poko tdak mngecewakan,Positif
bahan halus cantik,Positif
ukur bagus bahan,Positif
sesuai foto,Positif
cardigannya bagus banget kirim cepat trimakasih,Positif
p,Negatif
kulaitas bagus nyaman pakai pendek klo,Positif
sesuai ukur bahan adem strech next beli makasih hanafashion,Positif
ukur badan cm sesuai foto,Positif
ok,Positif
bagus banget,Positif
bb kg tb cm uk s kecil hrsnya sen uk m bagus,Positif
mantap bagus,Positif
seksi ukur s mon maaf foto ya bagus sesuai pesan,Positif
repeat order emang bahan nyaman banget tengkyu selelr,Positif
recommended jual bagus bahan nya,Positif
cepat sampai sayang bawah ketiak sperti sayap kiri kanan,Positif
fittingnya okeee emas cepat makasihhh udah gercep,Positif
barang nya dah sp bahan bagus blm coba,Positif
beli puas belanja toko customerized,Positif
bahan bagus langsung repeat order terima kasih yaa,Positif
sesuai pesan kirim cepat,Positif
bagus bahan adem ukur pas,Positif
kualitas mantab,Positif
alhamdulillah anak suka banget,Positif
alhamdulillah anak suka,Positif
bahan lumayan tebel jahit rapi nyaman pakai makasih,Positif
ukur pas,Positif
mantap barang sesuai pesan kualitas baik,Positif
bagus bahan tebal mesti beli warna putih nerawang bahan elastis sayang benang jahit elastis jd pakai melesaat baju hati jgn,Positif
ulas,Positif
bagus nyaman pakai yaa,Positif
bagus,Positif
bahan enak crop top,Positif
bagus banget,Positif
zzzzzzz,Positif
oke,Positif
bahan si adem yaa sembarang crop tank top si intinyaa suka si crop top,Positif
bagus ukur s badan kg cm,Positif
bahan enakkkk sumpahhh nyangka kualitas worth pricenyaa,Positif
cakep banget,Positif
keren bhn adem ukur sesuai,Positif
produk ny bagus,Positif
potong ketek a belah belah,Positif
bahan bagus ragu beli yaaa,Positif
barang oke kirim cepat,Positif
udh x beli bahannnyaa ademm gerah,Positif
plis suka banget brick red cakep banget warna nyaman banget baju baju gin rumah next time beli thank you,Positif
produk bagus bahan nyaman dingin sayang size kosong order tolong lengkap ya biar order ulang,Positif
nyaman banget pakenya langgan hanafashion kalap kalo belanja wkwkw sukses yaa hanafashion sayang,Positif
banget badan surprisingly bahan bagus poll,Positif
bahan bagus bangetttttttt kirim cepat,Positif
enak bahan lumayan,Positif
harga dah paliiiiing murah dah kualitas abal abal udah kali kaliii beli baguuuus,Positif
barang sesuai bahan bagus,Positif
makasih paket bahan bagus ukur,Positif
hebat,Positif
bagus respon cepat cewe suka model bahan hehe,Positif
size l lebar baju sisi ketiak kiri ketiak kanan cm pnjg baju cm muat udah an pakai berat badan kg cm,Positif
real pic baguuus bangeeeett next bli putih makasih gaan,Positif
nyaman pakai,Positif
model ukur kecewa,Positif
bahan adem puool,Positif
bahan tipis sesuai harga,Negatif
mantap barang bagus sesuai deskripsi,Positif
les tepi kain kiri kanan keriting keriting ketiak kecewa abis tau cuttingnya salah bekas barang return,Negatif
ukur cropnya aneh ya paksa modifikasi ulang kain lingkar ketiak besar longgar dada badan kainny,Negatif
kalo dagang jujur ya kk bisa ngadain flashsale harga murah tarik beli ehhh ujung nya order cuekin kirim nama p,Negatif
jual profesional bertanggungjawab tipu adakan flash sale harga miring pesan kirim barang kirim nomor,Negatif
pas,Positif
mantap,Positif
pendek spt gambar,Negatif
gakpernah nyesel deh pokok suka banget bahan adem parah,Positif
kirim cepat bahan bgs pakai jg keren size s bb,Positif
toko sp m puluh kali beli kirim barang kasih bintang wajar maksa bintang sp m kun wa ub,Negatif
kain tipiss,Positif
kualitas okee kain tebel adem ngga nerawang langgan banget pokoke ya hana fashion ngga usa ragu size crop m celana l tb bb kg,Positif
bahan jahit rapi tank top bb kg,Positif
bagus sesuai harap,Positif
bahan bagus warna hitam kasih nya orange aja bagus,Positif
bahan adem halus terawang worth it banget sih,Positif
bagus bahan enak putih nerawang dikit,Positif
bahan tipis jd adem nerawang bagus suak banget makasii,Positif
beli hehe puas moga rezeki ya biar beli warna bagus koleksi nya hana fashion harga murah,Positif
barang sesuai pesan next order,Positif
bahan adem cocoke u liat perut,Positif
baguss bangett aaaa trs adminnya ramah cepat respon,Positif
banget badan xs,Positif
bahan adem,Positif
q suka banget,Positif
bagus,Positif
bahan bagus warna cmn ekspedisi sicepat nya bilang lambat jd ekspedisi aja jual,Positif
it s just oke ukur l bra size b bb not too tight,Positif
coba aja kesel,Negatif
kain terawang katun premium sesuai harga pakai tidur nyaman ld cm lp cm pb cm pl cm tb c,Positif
bahan enak banget tipis gabikin gerah beli item sempet beli warna putih sayang nerawang gituu sesuai harga sih yaa sa,Positif
baguss bb pake m ketat,Positif
dapet harga,Positif
bagus cakep banget nang,Positif
bahan oke bb kg,Positif
