Nama Pelanggan,Produk,Ulasan,Rating
Mas,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL","Tinggi badan 150 - 160 cm, bagus, nyaman, adem juga ga bikin gerah",5
adisti,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL","Ukurannya pas
bahan nya bagus
next beli lagii🥰",5
Astrid,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",Ukurannya pas Tinggi badan 150 - 160 cm,5
Feivel,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",Ukurannya pas dibadan. Sesuai deskripsi. Ada barang yg kosong dan dibantu proses refundnya sama seller.,5
T***a,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",Ukurannya pas  Tinggi badan 150 - 160 cm,5
M***C,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",Ukurannya pas sesuai dengan keinginan keren banget model kekinian respon cepat pengiriman lancar jaya,5
I***h,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 61 - 70 kg,5
A***a,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",bagusss dehh.. murah pulak.. ga kecewaa.. bahannya juga alus.. ga nyesel beli huhuhu 🩷,5
d***h,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",Ukurannya pas Tinggi badan < 150 cm. bahannya bagud dan nyaman dupakai,5
y***a,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",bJus nya bagus tidak panas bahan adem bgt baju nya simpel dan cNtik bgt,5
O***a,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",Sukak and worty to buy,5
Mon,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL","BB 55
TB 158
pas di xl
bgs",5
Lenny,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL","Udah langganan beli di hana fashion,, bagus bahan nya adem dan tidak murahan,, klo bisa banyakin disc nya lagi",5
Evi,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",bajunya bagus.. pengiriman cepat 👍👍👍 Terimakasih...🙏☺️,5
Nurhe,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL","bagus, bahannya adem trs mulur. makasih reseller",5
L***n,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",bahannya adem dan ukurannya sesuai deskripsi. thanks,5
d***a,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",kain tipis dan baju press di body. selebihnya oke buat jalan jalan santai👍,5
Y***n,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL",pesan warna hitam dan putih.yang dikirim dua2nya hitam .tapi untunglah modelnya cantik dan jahitan rapi.ukurannya juga cocok di badan.tks ya (next lebih teliti ya),5
L***a,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL","gemaaaasss, untuk bb 43 ini pas banget.. kalo mau agak longgaran pilih uk L",5
Ayu,"HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074 - Black, XXL","Bahan bagus, nyaman dipakai dan harga terjangkau",5
