Nama Pelanggan,Produk,Ulasan,Rating
Mitha,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",p,3
NyoungLover,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Kulaitas bagus, nyaman dipakai, cuma agak pendek klo untuk yang tinggi",5
Z***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","sesuai, ukuran pas, bahan adem strech, next mau beli lg. makasih hanafashion",5
d***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Ukurannya pas di tinggi badan 150 cm dan sesuai dgn di foto,5
Zully,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",ok,5
Zully,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",ok,5
Elisabeth,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Bagus banget 🥰,5
T***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Utk bb 40kg tb 155cm uk s kekecilan hrsnya pesen uk M. Overall good,5
A***f,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Mantap bagus,5
Wiko,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","cukup seksi dg ukuran S. mon maaf ga difoto ya.

tp bagus. sesuai pesanan",5
Prastiwi,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Repeat order karena emang bahannya nyaman banget.
Tengkyu selelr....",5
Caroline,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",recommended seller 👍🏻 bagus bahan nya,5
Zully,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",ok,5
Yuliana,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Cepat sampainya cuma sayang dibawah ketiak sperti ada sayap kiri n kanannya,5
F***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","fittingnya okeee, pengemasan cepat, makasihhh udah gercep",5
Rina,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",barang nya dah sp.. bahan bagus tp blm di coba,4
Prastiwi,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Pembelian yg kedua...
Puas belanja di toko ini.
Customerized sekali.",5
Prastiwi,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Bahannya bagus.
Langsung repeat order.
Thanks yaa....",5
Y***e,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Sesuai pesanan
Pengiriman cepat",5
wawa,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bagus bahan adem ukuran pas,5
