Nama Pelanggan,Produk,Ulasan,Rating
Wisnu,"Hanafe Crop Top Hana Fashion - Light Grey, M",ga bagus jadi gombal,1
C***s,"Hanafe Crop Top Hana Fashion - Light Grey, M",Tidak ada ulasan,1
Junida,"Hanafe Crop Top Hana Fashion - Light Grey, M","ga sesuai dengan deskripsi, bahan nya tipis",3
R***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","pdhl bajunya bagus tp jahitan bagian samping ada yg lepas, jd kayak bolong. tolong kualitas jahitannya diperbaiki",2
G***o,"Hanafe Crop Top Hana Fashion - Light Grey, M","Di deskripsi size S LD 76 (LD bukan LB), ternyata yg datang LD cuma 38, jadi barang ga bisa dipakai. Kainnya juga super tipis. Beli warna putih, seandainya muat dipakai,...",1
zulfa,"Hanafe Crop Top Hana Fashion - Light Grey, M",warnanya d mintak random malah satu warna d kirim..bajunya jga trlalu kecil buat org dewasa..,2
O***D,"Hanafe Crop Top Hana Fashion - Light Grey, M","Respon pengiriman cepat, kwalitas barang bagus kok, tapi saya sengaja pesan 2 size (S dan M) supaya tau size mana yg lebih pas di saya. ternyata yg dikirim semuanya size...",2
Caroline,"Hanafe Crop Top Hana Fashion - Light Grey, M",product nya oke tapi pengiriman nya super lamaaaaa,3
G***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",bahan dan kaos cukup oke. Tapi...yang satu salah ukuran huhu...dan sy males nuker harus pergi ke J n T. lain kali lbh teliti ya.,3
Prisca,"Hanafe Crop Top Hana Fashion - Light Grey, M",Nah ini barang yg gak ada. Tidak konfirmasi. Asal kirim. Slow respon. Refund lama.,1
C***e,"Hanafe Crop Top Hana Fashion - Light Grey, M","Respon lambat, pengiriman lama ..., Ukuran XXL tp kecil bangeut ...",3
N***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",udah lama lama nunggu pengirimannya pas sampe ternyata kekecilan. aku bb 51 tb 155 ngepress bgt:( pdhl bajunya bagus:+,3
D***d,"Hanafe Crop Top Hana Fashion - Light Grey, M",beda label beda isinya,1
B***u,"Hanafe Crop Top Hana Fashion - Light Grey, M","Barang bagus, Tp pengiriman lama buwanget. Sampai ter cancel karena tidak diproses. Saya order ulang deh. Tolong ditingkatkan kualitas pengiriman nya kak",2
aiko,"Hanafe Crop Top Hana Fashion - Light Grey, M","barangnya kurang 1, tp ya sudahlahhh",3
Kaledio,"Hanafe Crop Top Hana Fashion - Light Grey, M","udah langganan disini, cuma sayang 2 kali order terakhir kirim nya lama.. sampe 2 hari baru kirim.. sedih",3
Sendy,"Hanafe Crop Top Hana Fashion - Light Grey, M",Barang tidak sesuai gambar,2
rika,"Hanafe Crop Top Hana Fashion - Light Grey, M",sy pesan 2 putih dan Light Gray tp knp ke2nya malah light grey 😐🙄,3
T***e,"Hanafe Crop Top Hana Fashion - Light Grey, M","Tipis banget ternyata, dan jahitannya agak kasar. Tapi ya sesuai harga. Enak buat dipake tidur Atau olahraga karena tipis. Tapi kalau untuk dipakai, enggak deh.",3
kskdjwks,"Hanafe Crop Top Hana Fashion - Light Grey, M",Bahanny sedikit kasar dan kurang crop,3
rika,"Hanafe Crop Top Hana Fashion - Light Grey, M",sy pesan 2 putih dan Light Gray tp knp ke2nya malah light grey 😐🙄,3
T***e,"Hanafe Crop Top Hana Fashion - Light Grey, M","Tipis banget ternyata, dan jahitannya agak kasar. Tapi ya sesuai harga. Enak buat dipake tidur Atau olahraga karena tipis. Tapi kalau untuk dipakai, enggak deh.",3
kskdjwks,"Hanafe Crop Top Hana Fashion - Light Grey, M",Bahanny sedikit kasar dan kurang crop,3
Junida,Produk tidak ditemukan,"ga sesuai dengan deskripsi, bahan nya tipis",3
R***a,Produk tidak ditemukan,"pdhl bajunya bagus tp jahitan bagian samping ada yg lepas, jd kayak bolong. tolong kualitas jahitannya diperbaiki",2
G***o,Produk tidak ditemukan,"Di deskripsi size S LD 76 (LD bukan LB), ternyata yg datang LD cuma 38, jadi barang ga bisa dipakai. Kainnya juga super tipis. Beli warna putih, seandainya muat dipakai,...",1
zulfa,Produk tidak ditemukan,warnanya d mintak random malah satu warna d kirim..bajunya jga trlalu kecil buat org dewasa..,2
O***D,Produk tidak ditemukan,"Respon pengiriman cepat, kwalitas barang bagus kok, tapi saya sengaja pesan 2 size (S dan M) supaya tau size mana yg lebih pas di saya. ternyata yg dikirim semuanya size...",2
Caroline,Produk tidak ditemukan,product nya oke tapi pengiriman nya super lamaaaaa,3
G***a,Produk tidak ditemukan,bahan dan kaos cukup oke. Tapi...yang satu salah ukuran huhu...dan sy males nuker harus pergi ke J n T. lain kali lbh teliti ya.,3
