Nama Pelanggan,Produk,Ulasan,Rating
F***a,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",Bagus :),5
O***g,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Mantap bahan bagus, Nyaman banget dipakai, jahitan rapi. Suka banget. Terima kasih",5
Susan,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Bahan bagus, jahitan rapi, harga ok bgt. pengiriman aman.",5
Lenny,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","sesuai deskripsi, jahitan rapi, respon seller ok, pengiriman cepat",5
Fadjar,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","Bagus, harga muraah.. kualitas lumayan, bisa buat jalan..",5
R***a,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",bagus pokonya tdak mngecewakan 😍,5
Yumi,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",bahan halus&cantik,5
Fie,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",ukuran pas ..bagus bahannya,5
maria,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S",sesuai foto,5
Ranididie,"HanaFashion - Lucia Basic Casual Cardigan Outer Simple Wanita - SB136 - MC Polka, S","cardigannya bagus, pas bgt, pengirimannya cepat, trimakasih",5
