,Nama Pelanggan,Produk,Ulasan,Rating
0,tomi,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Bahan celananya bagus, beliin buat si kaka pas ukurannya",5
1,P***u,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",kualitas bagus.,5
2,Isna,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya pas,5
3,F***n,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bumil approved👍,5
5,E***t,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya terlalu besar,5
6,Andre,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 50 - 60 kg,5
7,Putri,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",kain lumayan tipis,4
8,Andrea,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya pas. L. tinggi 152 berat 52. udah order kedua kalinya karena suka banget. terimakasii,5
9,Martin,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Tidak ada ulasan,3
10,Andrea,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya pas Berat badan 50 - 60 kg,5
12,Y***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","BB saya 57kg, TB 163 cm, Lingkar pinggang 80. Pas ukuran M, tapi pendek memang; lebih panjang dikit dari CD model boxer. Bahannya tipis. Untuk sehari-hari okelah.",5
13,K***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bahan adem,5
14,Amanda,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Bahannya adem, bagus banget, sesuai foto",5
15,mice,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bagus , sesuai diskripsi, ukuran sesuai dan pas, enak adem dipakai. mksh",5
16,Widia,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bagus model dan bahan,5
17,Piedepoy,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",ademmmm bangettt,5
18,Asep,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","mantap sdh di terima , keren",5
19,Lestari,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",cocok buat pacar saya makin semoggg,5
20,Matius,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",good,5
21,Wieke,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahannya enak, adem dan nyaman 👍",5
22,OK,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Barang bagus, nyaman dipakai 👍👍👍👍👍",5
23,Tri,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahannya bagus, jahitan ok, adem saat di pakai , yang pastinya nyaman buat santai2 di rumah, thank you",5
24,A***D,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bagus dan cantik seperti biasanya 🥰,5
25,Anton,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bagus ,enak dipakai nyaman terimakasih",5
26,I***i,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bahan enak dipakai,5
27,rani,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Bahannya enak bgt, nyaman, adem dan keceee bgt pas dicobain. Terima kasih",5
28,M***D,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bahan adem dan nyaman,5
29,Maria,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Pretty design as always, push my confidence, love it, i like that Hana Fashion's Design!",5
30,M***f,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bahannya enak,5
31,Hanif,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","istri suka, katanya nyaman dipakai 👍🏾",5
32,Yohanes,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",nyaman buat sehari2 di Jakarta yg makin puanas,5
34,Rie,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","ukuran pas sesuai deskripsi
jahitan rapih
bahan adem lembut",5
35,Yordan,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","seller responsif, brg ny ok bangettt 👍🙏",5
36,N***i,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","pesanan sudah diterima dgn kondisi baik, terima kasih",5
37,Y***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukuran pas dan nyaman dipakai 💖,4
38,Aileen,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Kain halus dan nyaman dipakai... Pelayanan toplah,, rekomended... 👍",5
40,Abdul,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Lumayan untuk harga seginimah lah,5
41,Galih,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bahan nyaman,5
42,O***g,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Mantap bahan bagus, Nyaman banget dipakai, jahitan rapi. Suka banget. Terima kasih",5
43,A***D,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Bagus.. nyaman dipake, ga sumpek, bahan bagus, ayank jd terlihat lebih seksih 👍",5
44,F***i,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","fittingnya okeee, pengemasan cepat, makasihhh udah gercep",5
45,M***d,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",mantap kali,5
47,S***n,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","👍👍👍👍
bisa diulang beli lagi. 
terimakasih tokopedia, seller n oom kurirnya",5
48,W***e,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",kilat nyampenya uy.... cakkeeepppp bgt,5
49,NuNa,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bagis,5
50,A***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Titipan istri. Kata istri bagus, dipakai nyaman & adem. Enak buat dipakai di rumah. Harga ok",5
51,N***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Bahan nyaman, sesuai harga ...................",5
52,c***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",pas bgt. nice,5
53,Annisa,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","ukuran pas, jahitan rapi, nyaman",5
54,Wisnu,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",sesuai harapan,5
55,R***r,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",mantab sesuai ekspektasi dan harga lah ya,5
56,Rendy,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",terima kasih produknya sesuai deskripsi,5
57,Erna,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","pembelian ke 2, ukurannya pas dan bahannya juga nyaman.",5
58,Nurhidayat,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",sip Terbaik sih udah berapa kali beli di mari produk Berkualitas 💯👌,5
59,Jesmon,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",tidak sesuai,1
60,G***t,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",pelayanan cepatt,5
61,arya,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahan halus ,respon cpat",4
62,Donni,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Barang bagus sesuai diskripsi. Harga barang bagus sesuai kualitas. Semua berfungsi normal. Pengiriman cepat sesuai jadwal. Semoga awet. Ditunggu jenis barang lain nya bia...,5
63,Agus,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bahannya mantuulll,5
64,I***s,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",sesuai deakripsi,5
65,Latiffah,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",suka bgt pokonya.,5
66,Putu,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",barang bagus,5
67,A***n,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",sukses selalu,5
68,Q***n,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Thank you, my package has arrived, I just took it from the boarding house keeper's hand, the shoulders are cotton for relaxing okay, size L, the packaging is also nea...",5
69,M***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",👍👍👍👍👍👍👍👍,5
70,agus,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",ok,5
71,Shophie,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Tiba sesuai pesanan, dan dalam keadaan yang baik, bahannya bagus nyaman dipakai, modelnya bagus, jahitannya rapih, ukuran agak besar.",5
72,G,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",penampilan istri jd semakin seksi,5
73,Gunawan,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Pesanan sudah sampai kak. Belum di buka. Modelnya paling suka. Semoga sesuai ekspektasi size dan warnanya,5
74,E***i,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",mantap,5
75,R***o,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",barang sesuai deskripsi,5
