Nama Pelanggan,Produk,Ulasan,Rating
Agus,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL",ok bngt,5
I***a,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL","Ukurannya pas, bahannya bagus.",5
S***a,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL","ukurannya besar banget bund, aku di ld 90 pun masi kebesarann.
sukanya adalah ada busanya jadi ngga perlu pake daleman lagi terus bahannya bagus, tebel, ga nerawang tapi...",5
Cathy,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL",Semoga bagus,5
Nida,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL",Bahan Bagus tebal juga,5
E***a,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL","produk ok, ukuran S ternyata terlalu pas banget. tapi nggak papa, biar nggak melorot juga.",5
Miftachul,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL","sesuai psanan, ckp bgs bahanny",5
A***a,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL","Barang sesuai deskripsi, pengiriman cepat, thx",5
C***o,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL",👍👍👍,5
Yohana,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL","top kemben nya ok nih! aku beli size L biar press di badan, dan ternyata pas! seneng bgt. di deskripsi nya menyesuaikan ko ukuran LD dll nya. bahannya adem ini. ku suka k...",5
F***d,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL",kebesaran dikit harusnya psen XXL tapi overall bagus,5
L***a,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL","LD saya 92cm, ukuran XXXL masih agak longgar. Mungkin akan lebih pas kalau ambil XL",4
B***s,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL","Barang oke, pengiriman cepat 👍👍 mantap deh",5
N***R,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL","akhirnya nemuin juga pakaian dalam yang nyaman dan enak dipakai, tidak gerah dan bikin pede dan cantik. hmmm....",4
M***t,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL","pesan 1 hitam 1 khaki, sy tambahkan catatan dibawah tapi datangnya 2 hitam. Saya lapor tapi mereka bilang mereka hanya proses sesuai dgn ordernya 2 hitam. Ga bisa pake ca...",3
Chalessia,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL","bahan agak kasar, jahitan tdk rapi. sesuai harga lah ya.",4
Thy,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL",Cuanntttiiikkk pol RECOMMENDED SELLER,5
M***e,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL",oke,4
D***a,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL",bagus,5
susan,"HanaFashion - Marina Tube Bra Crop Top Kemben Pendek Wanita - TT074 - Khaky, XL",bagian bawah tidak melar sama sekali..masuk dari atas gak bisa..dari bawah gak bisa..tidak recommended,4
